1,21,1,MPUの高速化技術の一つであるスーパスカラの特徴として、適切なものはどれか。,同時に実行可能な複数の動作をまとめて一つの命令として実行する。,独立した複数の命令ストリームを用意し、これらの実行を切り替えながら行う。,パイプラインの深さを増すとともに、パイプラインピッチを短くして、平均命令実行時間を短縮する。,パイプラインを複数用意し、同時に複数の命令を実行する。,エ,;
2,21,2,同一メモリ上で転送するとき、転送元の開始アドレス、転送先の開始アドレス、方向フラグ及び転送語数をパラメタとして指定することでブロック転送が行えるCPUがある。図のようにアドレス1001から1004の内容をアドレス1003から1006に転送する場合、パラメタとして適切なものはどれか。ここで、転送は開始アドレスから1組ずつ行われ、方向フラグに0を指定するとアドレスの昇順に、1を指定するとアドレスの降順に転送を行うものとする。,,,,,エ,21-2;
3,21,3,コンピュータの命令実行順序として、適切なものはどれか。,オペランド読出し → 命令の解読 → 命令フェッチ → 命令の実行,オペランド読出し → 命令フェッチ → 命令の解読 → 命令の実行,命令フェッチ → オペランド読出し → 命令の解読 → 命令の実行,命令フェッチ → 命令の解読 → オペランド読出し → 命令の実行,エ,;
4,21,4,容量64kバイト、ブロックサイズ32バイトのキャッシュメモリをもつ32ビットMPUが主記憶から1Mバイトの32ビット整数型配列データを連続して読み出した。このとき、キャッシュメモリのミスヒット率は何％か。ここで、配列データ以外のデータはレジスタに割り当てられているものとし、kは2^10、Mは2^20を表す。,0.006,0.05,6.4,12.5,エ,;
5,21,5,バス幅が16ビット、メモリサイクルタイムが80ナノ秒で連続して動作できるメモリがある。このメモリのデータ転送速度は何Mバイト／秒か。ここで、Mは10^6を表す。,12.5,25,160,200,イ,;
6,21,6,組込みシステムで使用されるI2Cバスの特徴として、適切なものはどれか。,クロックとデータの2線式バスである。,シングルマスタバスである。,データ転送の最高速度は、12Mビット／秒である。,一つのバスに接続されるICは、最大15個と決められている。,ア,;
7,21,7,バスプロトコルに関する記述のうち、適切なものはどれか。,バスアービタがバスの調停を行い、調停の結果、使用権を取得した装置がバスを使用する。,バススレーブがアドレスを出力して、転送相手の装置とその装置内の転送対象を指定する。,バススレーブは、バスを使用したデータ転送が終了すると、各信号線の駆動を停止する。,バスマスタが、バスを時分割で使用するように調停を行うことによって、複数の装置がバスを使用できる。,ア,;
8,21,8,毎分6000回転、平均位置決め時間が20ミリ秒、1トラック当たりの記憶容量が20kバイトの磁気ディスク装置がある。1ブロック4kバイトのデータを1ブロック転送するのに要する平均アクセス時間は何ミリ秒か。ここで、磁気ディスクコントローラのオーバヘッドは無視できるものとする。,20,22,27,32,ウ,;
9,21,9,ホットスタンバイシステムにおいて、現用系に障害が発生して待機系に切り替わる契機として、最も適切な例はどれか。,現用系から待機系へ定期的に送信され、現用系が動作中であることを示すメッセージが途切れたとき,現用系の障害をオペレータが認識し、コンソール操作を行ったとき,待機系が現用系にたまった処理の残量を定期的に監視していて、残量が一定量を上回ったとき,待機系から現用系に定期的にロードされ実行される診断プログラムが、現用系の障害を検出したとき,ア,;
10,21,10,あるトランザクションの応答時間は、サーバ処理時間100ミリ秒、総回線伝送時間400ミリ秒及び端末処理時間500ミリ秒の合計から成る。この応答時間を最も短縮させる対策はどれか。ここで、オーバヘッドは無視するものとする。,サーバ処理時間を40％と総回線伝送時間を10％改善する。,サーバ処理時間を80％改善する。,総回線伝送時間を20％改善する。,端末処理時間を20％改善する。,エ,;
11,21,11,ファイルに対するアクセス制御を次の方式で実現するファイルシステムがある。このファイルシステムにおいて、所有者には読取り、書込み及び実行を許可し、所有者と同一グループ及びそのほかの利用者には、読取りと実行を許可し、書込みを禁止するビット表現はどれか。
[アクセス制御の方式]
（１）各ファイルに対して、次に示す9ビットの情報を用いて、所有者、所有者と同一グループ、そのほかの利用者に対して、それぞれ読取り、書込み及び実行の可否を指定する。
（２）”r”は、読取りの可否を、”w”は書込みの可否を、”x”は実行の可否を指定する。
（３）当該機能を許可する場合は”1”を指定する。,10010,111001001,111101101,111110110,ウ,21-11;
12,21,12,インサーキットエミュレータの説明として、最も適切なものはどれか。,MPU、I/O、メモリなどの各信号線にプローブを介して接続し、ソフトウェアやハードウェアのデバッグを行う。,MPUの代わりとしてボードに接続し、ソフトウェアやハードウェアのデバッグを行う。,ROMの代わりとしてボードに接続し、ソフトウェアのデバッグを行う。,組込みシステムのプログラムの一部に、デバッガの一部又は全部を組み込んで、ソフトウェアのデバッグを行う。,イ,;
13,21,13,オープンソースソフトウェアの特徴のうち、適切なものはどれか。,一定の条件の下で、ソースコードの変更を許可している。,使用分野及び利用者を制限して再配布できる。,著作権は、放棄されている。,無償で配布しなければならない。,ア,;
